pair,regime,N,spread_p50_bps,spread_p95_bps,vol_p50_btc,vol_p5_btc,rv_vol_p50_bps,rv_vol_p95_bps
BTC/USDT,pre_crisis,12960,3.67,14.8,0.6,0.0,538.49,887.75
BTC/USDT,crisis,4320,7.51,26.15,1.3,0.0,732.03,1119.71
BTC/USDT,recovery,4320,12.41,38.26,3.2,0.2,882.63,1457.14
BTC/USDT,post,8640,9.23,26.31,0.7,0.0,796.93,1052.12
BTC/USDC,pre_crisis,0,,,,,538.49,887.75
BTC/USDC,crisis,1440,0.0,22.75,0.0,0.0,732.03,1119.71
BTC/USDC,recovery,4320,0.0,29.77,0.0,0.0,882.63,1457.14
BTC/USDC,post,8640,0.0,15.74,0.0,0.0,796.93,1052.12
BTC/USD,pre_crisis,12960,4.62,16.12,1.8,0.1,538.49,887.75
BTC/USD,crisis,4320,9.31,28.3,3.9,0.3,732.03,1119.71
BTC/USD,recovery,4320,13.72,40.43,6.5,0.8,882.63,1457.14
BTC/USD,post,8640,11.31,27.78,5.4,0.7,796.93,1052.12
